feature,group,scope,n,wins,losses,net,expectancy,pf,win_rate,average_winner,average_loser,max_losing_streak,realized_balance_dd_pct,net_ex_top5
utc_hour,16,BUY,4,2,2,0.01,0.002500000000000391,1.000672494956288,0.5,7.44,-7.435,2,0.297400000000016,-14.87
utc_hour,16,SELL,4,3,1,18.41,4.6025,3.2955112219451372,0.75,8.81,-8.02,1,0.1595565838975264,-8.02
utc_hour,16,2026-06,3,2,1,12.02,4.006666666666667,2.692957746478873,0.6666666666666666,9.559999999999999,-7.1,1,0.1417069500273507,-7.1
utc_hour,16,2026-07,3,1,2,-8.48,-2.826666666666666,0.4629512349588348,0.3333333333333333,7.3100000000000005,-7.895,2,0.3153389744194162,-15.79
utc_hour,16,2026-08,2,2,0,14.88,7.44,,1.0,7.44,,0,0.0,0.0
utc_hour,17,ALL,2,1,1,0.13,0.0649999999999995,1.0129224652087474,0.5,10.19,-10.06,1,0.201200000000008,-10.06
utc_hour,17,BUY,2,1,1,0.13,0.0649999999999995,1.0129224652087474,0.5,10.19,-10.06,1,0.201200000000008,-10.06
utc_hour,17,SELL,0,0,0,0.0,,,,,,0,0.0,0.0
utc_hour,17,2026-06,0,0,0,0.0,,,,,,0,0.0,0.0
utc_hour,17,2026-07,2,1,1,0.13,0.0649999999999995,1.0129224652087474,0.5,10.19,-10.06,1,0.201200000000008,-10.06
utc_hour,17,2026-08,0,0,0,0.0,,,,,,0,0.0,0.0
utc_hour,18,ALL,13,6,7,-13.29,-1.0223076923076928,0.7863687510046614,0.46153846153846156,8.153333333333332,-8.887142857142859,3,0.5652000000000226,-55.9
utc_hour,18,BUY,11,5,6,-12.47,-1.1336363636363644,0.7662605435801311,0.45454545454545453,8.175999999999998,-8.891666666666667,3,0.5344133435583048,-53.35
utc_hour,18,SELL,2,1,1,-0.82,-0.41000000000000103,0.9074492099322797,0.5,8.04,-8.860000000000001,1,0.17719999999999345,-8.86
utc_hour,18,2026-06,3,1,2,-11.43,-3.81,0.39169771154869615,0.3333333333333333,7.36,-9.395,1,0.22860000000000583,-18.79
utc_hour,18,2026-07,8,5,3,15.12,1.8899999999999988,1.571860816944024,0.625,8.312,-8.813333333333334,2,0.3366000000000168,-26.44
utc_hour,18,2026-08,2,0,2,-16.98,-8.490000000000002,0.0,0.0,,-8.490000000000002,2,0.33960000000000945,-16.98
utc_hour,19,ALL,12,4,8,-23.23,-1.935833333333333,0.5557467967106522,0.3333333333333333,7.265000000000001,-6.536249999999999,3,0.4928000000000065,-52.29
utc_hour,19,BUY,5,3,2,10.79,2.1580000000000004,1.8932119205298017,0.6,7.623333333333335,-6.039999999999999,1,0.13999999999999999,-12.08
utc_hour,19,SELL,7,1,6,-34.02,-4.859999999999999,0.1539418055210147,0.14285714285714285,6.19,-6.701666666666665,5,0.6804000000000087,-40.21
utc_hour,19,2026-06,5,1,4,-18.43,-3.686,0.251421608448416,0.2,6.19,-6.154999999999999,3,0.3686000000000058,-24.62
utc_hour,19,2026-07,5,2,3,-6.21,-1.2419999999999995,0.7250996015936256,0.4,8.190000000000001,-7.53,3,0.45032473616432855,-22.59
utc_hour,19,2026-08,2,1,1,1.41,0.7050000000000005,1.2775590551181104,0.5,6.49,-5.079999999999999,1,0.1014682941541864,-5.08
utc_hour,2,ALL,18,9,9,1.05,0.05833333333333362,1.015625,0.5,7.583333333333333,-7.466666666666667,6,0.8951999999999861,-39.79
utc_hour,2,BUY,10,5,5,-1.33,-0.13299999999999973,0.9657128125805621,0.5,7.492,-7.758,5,0.7757999999999993,-38.79
utc_hour,2,SELL,8,4,4,2.38,0.2975000000000001,1.083773319253784,0.5,7.6975,-7.102500000000001,2,0.28625725624216775,-28.41
utc_hour,2,2026-06,7,1,6,-37.73,-5.39,0.15705987488829312,0.14285714285714285,7.03,-7.46,6,0.8951999999999861,-44.76
utc_hour,2,2026-07,5,4,1,22.16,4.432,3.7358024691358027,0.8,7.565000000000001,-8.1,1,0.16146651463565106,-8.1
utc_hour,2,2026-08,6,4,2,16.62,2.770000000000001,2.1589958158995817,0.6666666666666666,7.74,-7.17,1,0.17340000000000147,-14.34
utc_hour,20,ALL,18,10,8,20.28,1.126666666666667,1.3654054054054054,0.5555555555555556,7.578,-6.9375,2,0.2922164880455052,-23.82
utc_hour,20,BUY,8,5,3,17.8,2.225,1.8083560399636693,0.625,7.964,-7.34,2,0.2872393088690759,-22.02
utc_hour,20,SELL,10,5,5,2.48,0.2480000000000003,1.0740740740740742,0.5,7.192,-6.696,2,0.25553237575237686,-33.48
utc_hour,20,2026-06,8,4,4,2.01,0.25125,1.0681355932203391,0.5,7.8775,-7.375,2,0.2922164880455052,-29.5
utc_hour,20,2026-07,3,2,1,11.24,3.746666666666666,3.0179533213644527,0.6666666666666666,8.405,-5.569999999999999,1,0.11139999999999418,-5.57
utc_hour,20,2026-08,7,4,3,7.03,1.0042857142857147,1.3441018110621636,0.5714285714285714,6.865,-6.81,1,0.15215388480974001,-20.43
utc_hour,21,ALL,16,7,9,-19.75,-1.2343749999999996,0.7148014440433214,0.4375,7.07142857142857,-7.694444444444445,7,1.1206446496391156,-58.46
utc_hour,21,BUY,9,1,8,-53.87,-5.985555555555554,0.11731935113878422,0.1111111111111111,7.16,-7.628749999999999,8,1.2205999999999768,-61.03
utc_hour,21,SELL,7,6,1,34.12,4.874285714285714,5.150851581508517,0.8571428571428571,7.056666666666666,-8.219999999999999,1,0.16336914072204894,-3.0
utc_hour,21,2026-06,4,3,1,18.54,4.635,4.224347826086956,0.75,8.096666666666666,-5.75,1,0.11480231042145425,-5.75
utc_hour,21,2026-07,6,1,5,-36.54,-6.09,0.16575342465753426,0.16666666666666666,7.26,-8.76,4,0.7307999999999992,-43.8
utc_hour,21,2026-08,6,3,3,-1.75,-0.29166666666666635,0.9111675126903555,0.5,5.983333333333334,-6.566666666666666,3,0.39399999999997815,-19.7
utc_hour,22,ALL,15,9,6,27.7,1.846666666666667,1.679421142997302,0.6,7.607777777777778,-6.794999999999999,2,0.27576463827341224,-16.57
utc_hour,22,BUY,8,4,4,9.38,1.1725,1.3581519663993893,0.5,8.8925,-6.547499999999999,2,0.27200000000000724,-26.19
utc_hour,22,SELL,7,5,2,18.32,2.617142857142857,2.2565157750342935,0.7142857142857143,6.58,-7.29,1,0.1741021983888531,-14.58
utc_hour,22,2026-06,9,5,4,4.72,0.5244444444444447,1.1674946770759402,0.5555555555555556,6.58,-7.044999999999999,2,0.27576463827341224,-28.18
utc_hour,22,2026-07,2,1,1,3.79,1.8950000000000005,1.6779964221824688,0.5,9.38,-5.59,1,0.1115906559294792,-5.59
utc_hour,22,2026-08,4,3,1,19.19,4.797499999999999,3.741428571428571,0.75,8.729999999999999,-7.0,1,0.1398190741180912,-7.0
utc_hour,23,ALL,20,10,10,26.33,1.3165,1.2632736726327367,0.5,12.634,-10.001,7,1.6897622359562894,-67.7
utc_hour,23,BUY,11,5,6,12.51,1.1372727272727283,1.1672907194437017,0.45454545454545453,17.458000000000002,-12.463333333333331,6,1.4699378254434041,-74.78
utc_hour,23,SELL,9,5,4,13.82,1.535555555555556,1.5477606024573922,0.5555555555555556,7.8100000000000005,-6.3075,2,0.35147917466008866,-25.23
utc_hour,23,2026-06,4,4,0,79.56,19.89,,1.0,19.89,,0,0.0,0.0
utc_hour,23,2026-07,12,5,7,-47.6,-3.9666666666666663,0.4432748538011696,0.4166666666666667,7.580000000000001,-12.214285714285714,6,1.5781597476852058,-85.5
utc_hour,23,2026-08,4,1,3,-5.63,-1.4074999999999998,0.6119917298414886,0.25,8.88,-4.836666666666667,2,0.15094203825731284,-14.51
utc_hour,3,ALL,12,5,7,-13.08,-1.0899999999999999,0.7364497279871046,0.4166666666666667,7.3100000000000005,-7.089999999999999,6,0.8519999999999891,-49.63
utc_hour,3,BUY,5,3,2,6.59,1.3180000000000005,1.4224358974358977,0.6,7.396666666666667,-7.799999999999999,2,0.31199999999998906,-15.6
utc_hour,3,SELL,7,2,5,-19.67,-2.8099999999999996,0.4219806053482221,0.2857142857142857,7.18,-6.806,4,0.54,-34.03
utc_hour,3,2026-06,4,0,4,-29.26,-7.3149999999999995,0.0,0.0,,-7.3149999999999995,4,0.5852000000000044,-29.26
